DATE,gdp,consumption,investment,hours,wages,inflation,interest_rate
1984-01-01,8034.847,5056.492,1154.826,70.258,70.735,48.639,9.56
1984-02-01,,,,,,,9.59
1984-03-01,,,,,,,9.91
1984-04-01,8173.67,5127.332,1192.381,71.173,70.837,49.055,10.29
1984-05-01,,,,,,,10.32
1984-06-01,,,,,,,11.06
1984-07-01,8252.465,5165.357,1218.184,71.482,71.306,49.491,11.23
1984-08-01,,,,,,,11.64
1984-09-01,,,,,,,11.3
1984-10-01,8320.199,5232.266,1202.383,71.947,71.287,49.861,9.99
1984-11-01,,,,,,,9.43
1984-12-01,,,,,,,8.38
1985-01-01,8400.82,5321.159,1169.416,72.522,71.572,50.354,8.35
1985-02-01,,,,,,,8.5
1985-03-01,,,,,,,8.58
1985-04-01,8474.787,5370.011,1189.334,73.017,71.623,50.678,8.27
1985-05-01,,,,,,,7.97
1985-06-01,,,,,,,7.53
1985-07-01,8604.22,5472.014,1181.226,73.222,72.23,50.984,7.88
1985-08-01,,,,,,,7.9
1985-09-01,,,,,,,7.92
1985-10-01,8668.188,5483.866,1224.763,73.589,72.906,51.269,7.99
1985-11-01,,,,,,,8.05
1985-12-01,,,,,,,8.27
1986-01-01,8749.127,5531.807,1224.404,73.483,73.595,51.524,8.14
1986-02-01,,,,,,,7.86
1986-03-01,,,,,,,7.48
1986-04-01,8788.524,5592.08,1203.028,73.284,74.832,51.719,6.99
1986-05-01,,,,,,,6.85
1986-06-01,,,,,,,6.92
1986-07-01,8872.601,5690.971,1170.667,73.655,75.347,51.931,6.56
1986-08-01,,,,,,,6.17
1986-09-01,,,,,,,5.89
1986-10-01,8920.193,5725.812,1174.171,74.209,75.861,52.214,5.85
1986-11-01,,,,,,,6.04
1986-12-01,,,,,,,6.91
1987-01-01,8986.367,5731.226,1205.858,75.133,75.336,52.548,6.43
1987-02-01,,,,,,,6.1
1987-03-01,,,,,,,6.13
1987-04-01,9083.256,5809.376,1206.486,75.564,75.083,52.912,6.37
1987-05-01,,,,,,,6.85
1987-06-01,,,,,,,6.73
1987-07-01,9162.024,5875.641,1206.662,76.09,75.114,53.313,6.58
1987-08-01,,,,,,,6.73
1987-09-01,,,,,,,7.22
1987-10-01,9319.332,5888.065,1288.881,76.876,75.404,53.738,7.29
1987-11-01,,,,,,,6.69
1987-12-01,,,,,,,6.77
1988-01-01,9367.502,5992.101,1227.008,76.947,76.229,54.159,6.83
1988-02-01,,,,,,,6.58
1988-03-01,,,,,,,6.58
1988-04-01,9490.594,6036.355,1256.243,78.029,76.347,54.686,6.87
1988-05-01,,,,,,,7.09
1988-06-01,,,,,,,7.51
1988-07-01,9546.206,6090.001,1263.222,78.239,76.411,55.34,7.75
1988-08-01,,,,,,,8.01
1988-09-01,,,,,,,8.19
1988-10-01,9673.405,6159.246,1282.499,79.117,76.286,55.818,8.3
1988-11-01,,,,,,,8.35
1988-12-01,,,,,,,8.76
1989-01-01,9771.725,6187.816,1326.029,79.91,75.728,56.4,9.12
1989-02-01,,,,,,,9.36
1989-03-01,,,,,,,9.85
1989-04-01,9846.293,6216.695,1313.202,80.219,74.905,57.001,9.84
1989-05-01,,,,,,,9.81
1989-06-01,,,,,,,9.53
1989-07-01,9919.228,6276.877,1301.412,80.403,75.044,57.417,9.24
1989-08-01,,,,,,,8.99
1989-09-01,,,,,,,9.02
1989-10-01,9938.767,6304.157,1291.758,80.407,75.444,57.826,8.84
1989-11-01,,,,,,,8.55
1989-12-01,,,,,,,8.45
1990-01-01,10047.386,6357.213,1304.586,80.657,75.689,58.45,8.23
1990-02-01,,,,,,,8.24
1990-03-01,,,,,,,8.28
1990-04-01,10083.855,6376.579,1304.993,80.31,76.463,59.105,8.26
1990-05-01,,,,,,,8.18
1990-06-01,,,,,,,8.29
1990-07-01,10090.569,6401.841,1279.695,79.895,76.229,59.611,8.15
1990-08-01,,,,,,,8.13
1990-09-01,,,,,,,8.2
1990-10-01,9998.704,6353.139,1208.107,79.555,75.624,60.055,8.11
1990-11-01,,,,,,,7.81
1990-12-01,,,,,,,7.31
1991-01-01,9951.916,6329.249,1167.908,78.777,75.665,60.643,6.91
1991-02-01,,,,,,,6.25
1991-03-01,,,,,,,6.12
1991-04-01,10029.51,6381.703,1167.904,78.278,76.77,61.088,5.91
1991-05-01,,,,,,,5.78
1991-06-01,,,,,,,5.9
1991-07-01,10080.195,6413.521,1191.028,78.194,77.214,61.566,5.82
1991-08-01,,,,,,,5.66
1991-09-01,,,,,,,5.45
1991-10-01,10115.329,6410.312,1233.261,78.055,77.683,61.931,5.21
1991-11-01,,,,,,,4.81
1991-12-01,,,,,,,4.43
1992-01-01,10236.435,6530.335,1210.478,77.597,79.283,62.161,4.03
1992-02-01,,,,,,,4.06
1992-03-01,,,,,,,3.98
1992-04-01,10347.429,6574.665,1278.935,77.91,79.473,62.535,3.73
1992-05-01,,,,,,,3.82
1992-06-01,,,,,,,3.76
1992-07-01,10449.673,6645.14,1289.101,78.033,79.89,62.841,3.25
1992-08-01,,,,,,,3.3
1992-09-01,,,,,,,3.22
1992-10-01,10558.648,6724.342,1328.433,78.545,79.705,63.273,3.1
1992-11-01,,,,,,,3.09
1992-12-01,,,,,,,2.92
1993-01-01,10576.275,6750.123,1359.751,79.233,78.73,63.628,3.02
1993-02-01,,,,,,,3.03
1993-03-01,,,,,,,3.07
1993-04-01,10637.847,6811.522,1367.575,80.133,78.735,64.007,2.96
