,Parameter,Mean,Std,2.5%,25%,50%,75%,97.5%
0,beta,66.62160358536495,108.87632762368409,-43.94852959038935,-2.813310035720631,24.37794417852622,77.17155170467228,321.9609367914706
1,sigma_c,-17.929421909697382,55.864969876018826,-144.83226697290328,-32.9969201110659,0.2842868659556006,18.388434465191146,54.21693295548154
2,h,-4.5887001471318944,16.919134170085492,-28.410508515464493,-18.653052634857193,-5.117870704682014,9.189523650489878,24.719931589761742
3,sigma_l,65.73996329969543,96.17166025346425,-14.148906181768215,-2.6619675710885997,25.051063627466874,80.51226810066018,293.0655406586721
4,alpha,-38.00581925547098,65.05360219767921,-190.03879099031263,-39.997341519825994,-3.5166978341495803,0.9461633515285268,8.477333282320851
5,delta,-8.038975832490499,21.657206197937803,-57.2817809535736,-19.643041644515765,-0.9726636656833182,7.0969836399331045,24.369466861495326
6,epsilon_p,-17.587094458405378,62.5938213712522,-160.73985486428853,-16.913597737227878,13.22316718690955,20.222194076800726,31.276279311927592
7,xi_p,-14.018780256183163,21.82066243010921,-47.283091273040036,-32.43406288997212,-14.969089252479186,-0.41304453258291396,24.46533399996736
8,iota_p,0.5041965063168476,14.894508244305245,-21.923791060208053,-11.858156115301906,0.07952036236869411,5.8568523225873115,28.22344464318558
9,epsilon_w,9.740904696247522,24.55656723228531,-24.4425315461677,-12.146317222362537,7.05910215681131,29.676135323637432,54.85214552653196
10,xi_w,16.59716872991132,31.7656667293743,-24.84450876441667,-1.4173124967303565,7.000474190040496,26.42825625421912,88.26603654249578
11,iota_w,-97.89784937533732,166.58975252523175,-500.21820619106956,-93.52334722367715,-8.869267218458031,-1.6602297523575849,13.29825460653025
12,rho_r,116.76599808195127,168.68543314440228,4.8039254052008875,18.44620405059124,25.218063368953956,107.25990991758317,521.9052428923176
13,phi_pi,1.5486805284562573,20.993385237124873,-36.339301275891295,-6.047033308258114,-0.43443619005152234,8.234534719144884,46.5304057255829
14,phi_y,43.34386296113589,89.7804738240134,-24.951502838873985,-16.77652725929195,2.170043741251079,53.75225050646801,248.99555199835996
15,phi_dy,19.868844180253802,41.86351391437871,-17.1432668710126,-5.632941182885126,-0.9396827696677741,31.661366295380123,117.3555783734659
16,pi_bar,-68.06744915678182,138.67843538639082,-393.5996994681662,-68.8866522898702,3.5990599174086872,7.830568659627689,39.19023618019129
17,r_bar,42.47485265473357,49.05840693789997,-7.06089181581166,9.696533862602166,17.14491798379358,59.02001663578016,156.23186977672484
18,technology_rho,15.601633535820753,27.90823834146102,-28.871567030958513,0.04262641229555797,12.32464795417787,35.3397134113379,66.69749610395891
19,preference_rho,-57.44542056026526,113.20317816564605,-321.16830230998744,-67.43946463954246,-2.350521423186219,6.926975624876758,38.59062919439386
20,investment_rho,-30.73092530940908,70.22907242962519,-189.4545038540219,-49.23334043367035,0.49328590152983276,9.310467123843788,51.52776118478737
21,government_rho,32.537949240849514,57.19456864661529,-37.271513829029296,-6.188268978957162,16.200290759676548,55.65017225550289,162.140056061376
22,monetary_rho,68.49562026528298,98.20316948612002,-23.84134622963087,-0.9027268869013478,22.109063278297008,96.83255951501171,297.51172346409726
23,price_markup_rho,17.46362671158063,23.475586502047847,-32.46730301970788,4.697336408795071,27.28387891567876,34.35174751321934,47.291209775833906
24,wage_markup_rho,-33.899079295557414,78.09849035349107,-216.34319798778407,-41.86009144143097,-2.3853311148015317,17.599009283461655,36.3418418643756
25,technology_sigma,-20.58338770197111,19.195204945403006,-65.87989717018466,-33.234946451126056,-11.788775749959395,-4.3606494179146225,-0.20012233182826644
26,preference_sigma,-17.610979221844357,24.552475056770273,-54.443415659266805,-37.41792122362459,-23.80573014665149,9.383133894190813,23.97354302112157
27,investment_sigma,-36.5956161867342,88.3873179301096,-239.71643196567737,-42.25137256096804,2.0631894419353687,14.654952720055617,42.08871098103655
28,government_sigma,-3.2924564393098072,22.000484653319468,-45.495704045846,-10.19947990260388,4.455341113594798,8.80804275108586,23.99834320625241
29,monetary_sigma,22.36833935084248,42.95302057660215,-15.286292413219462,-1.007344176467048,2.5377331197124455,25.90567545214082,125.04749796455113
30,price_markup_sigma,58.48404900885775,117.6193808303627,-26.783907804099115,-14.787712592279895,-0.778360851719501,64.83731000834327,335.72460750835893
31,wage_markup_sigma,-84.9038147282233,136.87288583418692,-408.54310822596204,-102.62885147328157,-7.8700137536531045,0.6454114076989916,21.496601959085574
